afa,Air Force
albany,Albany
army,Army
bellarmine,Bellarmine
binghamton,Binghamton
bostonu,Boston University
brown,Brown
bryant,Bryant
bucknell,Bucknell
canisius,Canisius
colgate,Colgate
cornell,Cornell
dartmouth,Dartmouth
delaware,Delaware
denver,Denver
detroit,Detroit
drexel,Drexel
duke,Duke
fairfield,Fairfield
furman,Furman
gtown,Georgetown
hartford,Hartford
harvard,Harvard
hpu,High Point
hobart,Hobart
hofstra,Hofstra
holycross,Holy Cross
jacksonville,Jacksonville
jhu,Johns Hopkins
lafayette,Lafayette
lehigh,Lehigh
loyola,Loyola
manhattan,Manhattan
marist,Marist
marq,Marquette
maryland,Maryland
mercer,Mercer
mich,Michigan
monmouth,Monmouth
msm,Mount St Mary's
navy,Navy
njit,NJIT
unc,North Carolina
nd,Notre Dame
osu,Ohio State
penn,Penn
psu,Penn State
princeton,Princeton
providence,Providence
quinnipiac,Quinnipiac
richmond,Richmond
rmu,Robert Morris
rutgers,Rutgers
sacred,Sacred Heart
stjoseph,Saint Joseph's
siena,Siena
stjohns,St. John's
sbu,Stony Brook
syracuse,Syracuse
towson,Towson
umass,UMass
uml,UMass Lowell
umbc,UMBC
vermont,Vermont
villanova,Villanova
uva,Virginia
vmi,VMI
wagner,Wagner
yale,Yale
